id_nodo; timestamp; temperatura; humedad; CO2; volatiles
sistinf23;1682334424552;27.00;33.00;561.00;24.00
sistinf23;1682334439864;27.00;32.00;481.00;12.00
sistinf23;1682334455355;27.00;32.00;420.00;3.00
sistinf23;1682334470760;27.00;31.00;659.00;39.00
sistinf23;1682334486092;27.00;31.00;478.00;11.00
sistinf23;1682334501391;27.00;31.00;411.00;1.00
sistinf23;1682334516708;27.00;31.00;445.00;6.00
sistinf23;1682334532167;27.00;31.00;527.00;19.00
sistinf23;1682334547726;27.00;31.00;428.00;4.00
sistinf23;1682334563043;27.00;31.00;515.00;17.00
sistinf23;1682334578553;27.00;31.00;464.00;9.00
sistinf23;1682334594175;27.00;31.00;505.00;15.00
sistinf23;1682334609635;27.00;31.00;476.00;11.00
sistinf23;1682334624952;27.00;31.00;454.00;8.00
sistinf23;1682334640450;27.00;31.00;435.00;5.00
sistinf23;1682334655838;27.00;31.00;416.00;2.00
sistinf23;1682334671164;27.00;30.00;555.00;23.00
sistinf23;1682334686459;27.00;31.00;520.00;18.00
sistinf23;1682334701758;27.00;32.00;470.00;10.00
sistinf23;1682334717119;27.00;31.00;821.00;64.00
sistinf23;1682334732425;27.00;31.00;1685.00;323.00
sistinf23;1682334747853;27.00;33.00;1134.00;111.00
sistinf23;1682334763151;27.00;32.00;1724.00;361.00
sistinf23;1682334778446;27.00;32.00;492.00;14.00
sistinf23;1682334793785;27.00;30.00;543.00;21.00
sistinf23;1682334809122;27.00;31.00;543.00;21.00
sistinf23;1682334824419;27.00;31.00;624.00;34.00
sistinf23;1682334839714;27.00;31.00;617.00;33.00
sistinf23;1682334855001;27.00;31.00;555.00;23.00
sistinf23;1682334870295;27.00;31.00;589.00;28.00
sistinf23;1682334885593;27.00;30.00;549.00;22.00
sistinf23;1682334900891;27.00;30.00;470.00;10.00
sistinf23;1682334916192;27.00;30.00;575.00;26.00
sistinf23;1682334931486;27.00;30.00;602.00;30.00
sistinf23;1682334946794;27.00;30.00;638.00;36.00
sistinf23;1682334962156;27.00;31.00;652.00;38.00
sistinf23;1682334977461;27.00;31.00;575.00;26.00
sistinf23;1682334992762;27.00;30.00;631.00;35.00
sistinf23;1682335008077;27.00;30.00;602.00;30.00
sistinf23;1682335023428;27.00;30.00;659.00;39.00
sistinf23;1682335038819;27.00;31.00;821.00;64.00
sistinf23;1682335054153;27.00;30.00;730.00;50.00
sistinf23;1682335069474;27.00;30.00;652.00;38.00
sistinf23;1682335084766;27.00;30.00;531.00;19.00
sistinf23;1682335100063;27.00;30.00;631.00;35.00
sistinf23;1682335115390;27.00;30.00;1913.00;603.00
sistinf23;1682335130808;27.00;30.00;675.00;41.00
sistinf23;1682335146127;27.00;31.00;624.00;34.00
sistinf23;1682335161427;27.00;31.00;581.00;27.00
sistinf23;1682335176721;27.00;30.00;596.00;29.00
sistinf23;1682335192016;27.00;30.00;589.00;28.00
sistinf23;1682335207308;27.00;30.00;1081.00;103.00
sistinf23;1682335222601;27.00;30.00;596.00;29.00
sistinf23;1682335237901;26.00;30.00;596.00;29.00
sistinf23;1682335253201;27.00;30.00;631.00;35.00
sistinf23;1682335268501;27.00;30.00;659.00;39.00
sistinf23;1682335299064;27.00;31.00;617.00;33.00
sistinf23;1682335314357;27.00;30.00;675.00;41.00
sistinf23;1682335329659;26.00;30.00;645.00;37.00
sistinf23;1682335344954;26.00;30.00;652.00;38.00
sistinf23;1682335360248;26.00;32.00;808.00;62.00
sistinf23;1682335375542;26.00;33.00;645.00;37.00
sistinf23;1682335390836;26.00;31.00;602.00;30.00
sistinf23;1682335406122;26.00;30.00;611.00;32.00
sistinf23;1682335421427;26.00;30.00;589.00;28.00
sistinf23;1682335436724;26.00;30.00;2023.00;789.00
sistinf23;1682335452019;26.00;31.00;1105.00;107.00
sistinf23;1682335467382;26.00;33.00;1607.00;252.00
sistinf23;1682335482677;26.00;31.00;2096.00;913.00
sistinf23;1682335497970;26.00;32.00;737.00;51.00
sistinf23;1682335513269;26.00;31.00;569.00;25.00
sistinf23;1682335528568;26.00;31.00;659.00;39.00
sistinf23;1682335543867;26.00;31.00;1372.00;148.00
sistinf23;1682335559165;26.00;30.00;1334.00;142.00
sistinf23;1682335574459;26.00;30.00;1677.00;315.00
sistinf23;1682335589750;26.00;32.00;1654.00;293.00
sistinf23;1682335605049;26.00;33.00;832.00;65.00
sistinf23;1682335620342;26.00;33.00;439.00;5.00
sistinf23;1682335635634;26.00;30.00;483.00;12.00
sistinf23;1682335650942;26.00;31.00;683.00;43.00
sistinf23;1682335666238;26.00;31.00;652.00;38.00
sistinf23;1682335681538;26.00;31.00;1607.00;252.00
sistinf23;1682335696839;26.00;32.00;405.00;0.00
sistinf23;1682335712129;26.00;31.00;435.00;5.00
sistinf23;1682335727422;26.00;32.00;432.00;4.00
sistinf23;1682335742715;26.00;31.00;1633.00;276.00
sistinf23;1682335758009;26.00;32.00;2142.00;1010.00
sistinf23;1682335773314;26.00;32.00;1093.00;105.00
sistinf23;1682335788642;26.00;33.00;1968.00;692.00
sistinf23;1682335803937;26.00;33.00;918.00;78.00
sistinf23;1682335819485;26.00;33.00;1611.00;255.00
sistinf23;1682335834798;26.00;32.00;527.00;19.00
sistinf23;1682335850095;26.00;32.00;460.00;9.00
sistinf23;1682335865393;26.00;32.00;1534.00;195.00
sistinf23;1682335895950;26.00;33.00;407.00;1.00
sistinf23;1682335911243;26.00;31.00;442.00;6.00
sistinf23;1682335926539;26.00;31.00;439.00;5.00
sistinf23;1682335941844;26.00;31.00;1330.00;141.00
sistinf23;1682335957151;26.00;31.00;1147.00;113.00
sistinf23;1682335972471;26.00;32.00;551.00;23.00
sistinf23;1682335987782;26.00;32.00;465.00;9.00
sistinf23;1682336003076;26.00;31.00;545.00;22.00
sistinf23;1682336018374;26.00;31.00;518.00;17.00
sistinf23;1682336033673;26.00;31.00;570.00;25.00
sistinf23;1682336049101;26.00;32.00;542.00;21.00
sistinf23;1682336079685;26.00;31.00;524.00;18.00
sistinf23;1682336094988;26.00;31.00;514.00;17.00
sistinf23;1682336110289;26.00;31.00;596.00;29.00
sistinf23;1682336125642;26.00;34.00;596.00;29.00
sistinf23;1682336140932;27.00;35.00;596.00;29.00
